NumeroEstudiante;RUN;Cohorte;Bloqueo;Causal_Bloqueo;Ultima_carga;Fecha_logro;Logro
389368;18678398;2013-01;N;Sin Bloqueo;2013-01;2013-01;1 AÑO
388287;5773878;2020-01;N;Sin Bloqueo;-;2020-01;INGRESO
467288;18316956;2020-01;N;Sin Bloqueo;-;2020-01;INGRESO
655765;20185091;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
474764;21409877;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
463763;8509444;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
493762;16796437;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
615952;24231776;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
458769;14813687;2022-01;N;Sin Bloqueo;-;2022-01;INGRESO
448789;9327234;2022-02;S;BLOQUEO POR NO INSCRIPCION;-;2022-02;INGRESO
504911;6843987;2023-01;S;SUSPENSION DE ESTUDIOS;-;2023-01;INGRESO
449386;17809098;2023-01;N;Sin Bloqueo;2024-02;2024-01;1 SEMESTRE
521988;14098509;2023-01;N;Sin Bloqueo;-;2023-01;INGRESO
492005;25843105;2023-01;N;Sin Bloqueo;-;2023-01;INGRESO
616000;21794235;2023-01;S;CAMBIO DE PLAN O CARRERA;-;2023-01;INGRESO
385008;17734410;2023-02;S;BLOQUEO POR INTERCAMBIO;-;2023-02;INGRESO
399009;10055195;2023-02;S;CAMBIO DE PLAN O CARRERA;-;2023-02;INGRESO
484055;8448392;1999-01;S;BLOQUEO POR NO INSCRIPCION;1999-01;1999-01;INGRESO
502233;16965559;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
534053;10355093;1999-01;S;BLOQUEO POR NO INSCRIPCION;1999-01;1999-01;INGRESO
481689;10838564;2005-02;S;SUSPENSION DE ESTUDIOS;-;2005-02;INGRESO
601373;4909616;1992-01;S;BLOQUEO POR NO INSCRIPCION;1998-02;1992-01;INGRESO
488325;17394618;2000-01;S;ALUMNO EGRESADO;2006-01;2006-01;QUINTO AÑO - EGRESO
576123;12921878;2001-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2001-01;INGRESO
642646;9356329;1989-01;S;BLOQUEO POR NO INSCRIPCION;1998-01;1989-01;INGRESO
607409;20053287;2000-01;N;Sin Bloqueo;2005-02;2000-01;INGRESO
650008;10886944;2005-01;S;ALUMNO CON DEUDA MOROSA;2007-02;2007-02;3 SEMESTRE
637391;7791993;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
421112;9399314;2005-01;S;BLOQUEO POR NO INSCRIPCION;2011-02;2011-02;8 SEMESTRE
408806;18917759;2008-02;S;BLOQUEO POR NO INSCRIPCION;2008-02;2008-02;CUARTO AÑO
395981;21511139;1995-01;S;ALUMNO EGRESADO;2000-01;2000-01;QUINTO AÑO- EGRESO
546038;19546071;2008-02;S;BLOQUEO POR NO INSCRIPCION;2013-02;2013-02;10 SEMESTRE - EGRESO
558718;14521962;1986-01;S;BLOQUEO POR NO INSCRIPCION;-;1985-01;INGRESO
459364;6175568;2001-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2001-01;INGRESO
525035;16785757;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2009-01;2006-02;2 SEMESTRE
466320;25150706;2002-01;S;ALUMNO EGRESADO;2006-02;2006-02;QUINTO AÑO - EGRESO
419335;18037648;2002-01;S;BLOQUEO POR NO INSCRIPCION;2003-01;2002-01;INGRESO
645058;16744617;2012-01;N;Sin Bloqueo;-;2012-01;INGRESO
593390;14333328;2000-01;S;BLOQUEO POR NO INSCRIPCION;2002-01;2000-01;INGRESO
478396;8441459;2000-01;S;ALUMNO EGRESADO;2005-01;2004-01;CUARTO AÑO
381412;20046479;2000-01;S;ALUMNO EGRESADO;2005-02;2005-02;QUINTO AÑO - EGRESO
604077;16575612;2007-01;S;ALUMNO CON DEUDA MOROSA;2007-02;2007-01;INGRESO
388381;9509629;2002-01;S;BLOQUEO POR NO INSCRIPCION;2002-01;2002-01;INGRESO
598413;22253570;2001-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-01;2004-01;PRIMER AÑO
544563;12034277;1991-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1991-01;INGRESO
398039;12047085;2008-02;S;ALUMNO EGRESADO;2022-02;2022-02;10 SEMESTRE - EGRESO
436339;24884291;2003-01;S;ALUMNO EGRESADO;2015-01;2015-01;QUINTO AÑO - EGRESO
639714;4418023;1996-01;S;BLOQUEO POR NO INSCRIPCION;1998-02;1996-01;INGRESO
375724;16385852;1985-01;S;BLOQUEO POR NO INSCRIPCION;1992-01;1985-01;INGRESO
438040;25094303;2005-01;S;BLOQUEO POR NO INSCRIPCION;2005-02;2005-02;2 SEMESTRE
615329;16490873;2002-01;S;BLOQUEO POR NO INSCRIPCION;2003-01;2002-01;INGRESO
590741;8131890;1996-01;S;BLOQUEO POR NO INSCRIPCION;1997-01;1996-01;INGRESO
392397;23083071;2000-01;S;ALUMNO EGRESADO;2006-02;2006-02;QUINTO AÑO - EGRESO
525416;12547677;2000-01;S;ALUMNO LICENCIADO;2007-01;2006-01;CUARTO AÑO
490666;15944651;1990-01;S;ALUMNO CON DEUDA MOROSA;1995-01;1990-01;INGRESO
587842;5248213;1990-01;S;ALUMNO EGRESADO;2005-01;2005-01;QUINTO AÑO - EGRESO
377931;18273402;2008-01;S;BLOQUEO POR NO INSCRIPCION;2016-01;2016-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
437297;7388900;1993-01;S;ALUMNO EGRESADO;1997-01;1993-01;INGRESO
407421;8537577;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
384820;13396977;2017-01;N;Sin Bloqueo;-;2017-01;INGRESO
481333;12525678;2003-01;N;Sin Bloqueo;2008-01;2008-01;QUINTO AÑO - EGRESO
532764;25190034;1985-01;S;ALUMNO EGRESADO;1992-01;1989-01;CUARTO AÑO
541048;13269680;2003-01;S;ALUMNO CON DEUDA MOROSA;2003-02;2003-02;PRIMER AÑO
618237;8973098;2006-01;S;ALUMNO CON DEUDA MOROSA;2007-02;2006-01;INGRESO
432846;16405489;1986-01;N;Sin Bloqueo;1994-02;1994-02;QUINTO AÑO- EGRESO
468055;8375977;2007-01;S;BLOQUEO POR NO INSCRIPCION;2008-01;2007-01;INGRESO
612529;24791715;2004-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-02;2004-01;INGRESO
544319;5318184;2003-01;S;BLOQUEO POR NO INSCRIPCION;2005-02;2003-01;INGRESO
517369;17593486;2001-01;S;ALUMNO EGRESADO;2005-01;2005-01;QUINTO AÑO - EGRESO
608615;14438839;2008-02;S;CAMBIO DE PLAN O CARRERA;2008-02;2008-02;1 SEMESTRE
642286;15871863;2008-02;S;ALUMNO EGRESADO;2022-02;2022-02;10 SEMESTRE - EGRESO
374037;11302330;2005-01;S;SUSPENSION DE ESTUDIOS;-;2005-01;INGRESO
490530;23169485;2010-01;N;Sin Bloqueo;2010-02;2010-01;INGRESO
524370;13945351;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-01;2001-01;INGRESO
429163;8525451;2009-01;S;ALUMNO CON DEUDA MOROSA;2009-01;2009-01;INGRESO
468608;6329943;1991-01;S;BLOQUEO POR NO INSCRIPCION;1997-01;1991-01;INGRESO
459402;4693287;2000-01;S;BLOQUEO POR NO INSCRIPCION;2001-01;2000-01;INGRESO
592368;6056493;2001-01;S;ALUMNO EGRESADO;2005-02;2005-02;QUINTO AÑO - EGRESO
452835;18573176;1984-01;S;BLOQUEO POR NO INSCRIPCION;1985-01;1984-01;INGRESO
386071;22493817;1988-01;S;ALUMNO EGRESADO;2001-01;2001-01;QUINTO AÑO- EGRESO
479399;19584901;2000-01;S;BLOQUEO POR NO INSCRIPCION;2001-01;2000-01;INGRESO
439730;15622108;1984-01;S;BLOQUEO POR NO INSCRIPCION;1993-01;1984-01;INGRESO
403420;15809844;2001-01;S;ALUMNO EGRESADO;2005-01;2005-01;QUINTO AÑO - EGRESO
561009;6263400;2004-01;S;BLOQUEO POR NO INSCRIPCION;2004-02;2004-01;INGRESO
647862;4151275;1991-01;N;Sin Bloqueo;1991-01;1991-01;INGRESO
623014;5106797;2004-01;S;ALUMNO LICENCIADO;2015-01;2015-01;QUINTO AÑO - EGRESO
447635;14563412;1996-01;S;ALUMNO EGRESADO;1999-02;1996-01;INGRESO
406951;25113688;2008-01;N;Sin Bloqueo;2009-02;2008-01;INGRESO
393097;6450716;2007-01;S;BLOQUEO POR NO INSCRIPCION;2011-02;2011-02;10 SEMESTRE- QUINTO AÑO - TITULO - ASISTENTE SOCIAL
574216;10918457;2011-01;S;BLOQUEO POR NO INSCRIPCION;2011-02;2011-02;1 SEMESTRE
602213;8650265;2011-01;N;Sin Bloqueo;2018-01;2018-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
520374;12197090;1992-01;S;ALUMNO CON DEUDA MOROSA;2000-01;1992-01;INGRESO
389456;17402831;1992-01;S;BLOQUEO POR NO INSCRIPCION;1998-01;1992-01;INGRESO
490142;7169862;2024-01;N;Sin Bloqueo;2024-01;2024-01;INGRESO
591816;9365722;1986-01;S;BLOQUEO POR NO INSCRIPCION;1989-01;1986-01;INGRESO
580915;25103671;1995-01;S;BLOQUEO POR NO INSCRIPCION;2000-01;1995-01;INGRESO
480339;23626990;2006-01;N;Sin Bloqueo;2022-02;2022-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
435117;6244914;2004-01;N;Sin Bloqueo;2007-02;2007-02;2 SEMESTRE
607374;24382187;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
473418;18933800;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
601238;14258008;2012-01;S;ALUMNO CON DEUDA MOROSA;2012-02;2012-01;INGRESO
384535;17436296;1991-01;S;ALUMNO EGRESADO;1996-02;1991-01;INGRESO
418941;9394880;2006-01;S;ALUMNO EGRESADO;2015-02;2015-02;10 SEMESTRE - EGRESO
600401;15715010;2006-01;S;CAMBIO DE PLAN O CARRERA;2008-02;2008-02;8 SEMESTRE
584954;15265364;1995-01;S;BLOQUEO POR NO INSCRIPCION;1998-02;1995-01;INGRESO
629130;5245917;2012-01;S;SUSPENSION DE ESTUDIOS;-;2012-01;INGRESO
642031;24753281;2006-01;S;ALUMNO LICENCIADO;2018-01;2006-01;INGRESO
605075;16893469;2006-01;S;ALUMNO CON DEUDA MOROSA;2006-02;2006-01;INGRESO
438080;21435997;2008-02;S;BLOQUEO POR NO INSCRIPCION;2008-02;2008-02;INGRESO
470654;16983855;2015-01;N;Sin Bloqueo;2023-02;2023-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
505068;6369751;2003-01;S;ALUMNO CON DEUDA MOROSA;2003-02;2003-01;INGRESO
535935;5408361;2008-01;S;BLOQUEO POR NO INSCRIPCION;2016-01;2016-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
521412;8450985;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2006-01;2006-01;INGRESO
490059;9619890;1994-01;S;ALUMNO EGRESADO;2000-01;1994-01;INGRESO
518358;19635435;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
547824;5241463;1986-01;S;BLOQUEO POR NO INSCRIPCION;1992-02;1986-01;INGRESO
506758;14225413;2011-01;S;SUSPENSION DE ESTUDIOS;-;2011-01;INGRESO
471152;10563661;1992-01;S;ALUMNO EGRESADO;1996-02;1996-02;QUINTO AÑO- EGRESO
381411;12218494;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-02;PRIMER AÑO
415841;11110792;2008-01;S;ALUMNO LICENCIADO;2015-02;2015-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
444386;20766297;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
536567;14207987;1990-01;S;BLOQUEO POR NO INSCRIPCION;-;1990-01;INGRESO
476367;18690104;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2013-02;2013-02;4 SEMESTRE
382516;8054105;2010-01;S;ALUMNO LICENCIADO;2017-02;2017-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
377006;17230285;1994-01;S;ALUMNO EGRESADO;1999-02;1994-01;INGRESO
468528;10750903;1988-01;S;BLOQUEO POR NO INSCRIPCION;1997-01;1992-01;TERCER AÑO
405190;19817902;2009-01;S;ALUMNO LICENCIADO;2014-02;2014-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
567800;19370570;1988-01;S;BLOQUEO POR NO INSCRIPCION;1995-01;1991-01;SEGUNDO AÑO
637354;17902724;2003-01;S;ALUMNO CON DEUDA MOROSA;-;2003-01;INGRESO
514340;24650385;2002-01;S;ALUMNO EGRESADO;2007-01;2007-01;QUINTO AÑO - EGRESO
538123;23825135;2012-01;S;ALUMNO CON DEUDA MOROSA;2012-01;2012-01;INGRESO
453379;12239335;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
394130;5318054;1994-01;S;BLOQUEO POR NO INSCRIPCION;1998-02;1994-01;INGRESO
572332;20999319;2002-01;S;ALUMNO EGRESADO;2008-01;2008-01;QUINTO AÑO - EGRESO
552701;15102359;2011-01;S;ALUMNO CON DEUDA MOROSA;2012-02;2011-01;INGRESO
476213;17597347;1993-01;S;BLOQUEO POR NO INSCRIPCION;1997-02;1993-01;INGRESO
519725;25373122;2006-01;S;ALUMNO EGRESADO;2008-01;2008-01;QUINTO AÑO- EGRESO
520682;22011940;1991-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1991-01;INGRESO
398220;13600164;1993-01;S;ALUMNO CON DEUDA MOROSA;2001-01;1993-01;INGRESO
557222;18368526;2006-01;S;SUSPENSION DE ESTUDIOS;2006-01;2006-01;INGRESO
607645;10713955;2007-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2012-01;2010-01;2 SEMESTRE
382285;4640475;2006-01;S;ALUMNO CON DEUDA MOROSA;2006-02;2006-02;1 SEMESTRE
464360;9973481;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-02;2001-01;INGRESO
582105;19215958;2009-01;N;Sin Bloqueo;2018-02;2018-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
542337;12281370;2003-01;S;BLOQUEO POR NO INSCRIPCION;2008-01;2008-01;QUINTO AÑO - EGRESO
637011;10585608;2004-01;S;BLOQUEO POR NO INSCRIPCION;2005-01;2005-01;SEGUNDO AÑO
383351;16815592;2002-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2002-01;INGRESO
382127;25381795;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2005-02;2005-01;INGRESO
535394;4431573;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;PRIMER AÑO
404001;15821637;2004-01;S;ALUMNO EGRESADO;2008-01;2008-01;QUINTO AÑO - EGRESO
565100;14901599;2009-01;N;Sin Bloqueo;2009-02;2009-01;INGRESO
403385;25387296;2000-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2006-01;2005-01;TERCER AÑO
522371;10687514;2001-01;S;BLOQUEO POR NO INSCRIPCION;2001-01;2001-01;INGRESO
507027;16107931;2003-01;S;ALUMNO CON DEUDA MOROSA;2008-01;2008-01;QUINTO AÑO - EGRESO
503645;14275655;2010-02;N;Sin Bloqueo;2010-02;2010-02;INGRESO
410758;19446362;1989-01;S;ALUMNO EGRESADO;1994-02;1989-01;INGRESO
421343;23942213;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2006-02;2006-01;INGRESO
478754;25183836;1983-01;S;BLOQUEO POR NO INSCRIPCION;1987-01;1983-01;INGRESO
463031;12418141;2003-01;N;Sin Bloqueo;2009-01;2009-01;QUINTO AÑO - EGRESO
552449;13444250;1985-01;S;BLOQUEO POR NO INSCRIPCION;1998-01;1985-01;INGRESO
564320;14327644;2006-01;S;BLOQUEO POR NO INSCRIPCION;2010-02;2010-02;10 SEMESTRE - EGRESO
619819;12926809;2011-01;S;ALUMNO LICENCIADO;2018-01;2018-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
451978;18981663;2018-01;S;ALUMNO EGRESADO;2022-02;2022-02;10 SEMESTRE - EGRESO
619981;9571247;2012-01;N;Sin Bloqueo;2016-01;2015-01;4 SEMESTRE
383388;14713117;1992-01;S;BLOQUEO POR NO INSCRIPCION;2000-01;1992-01;INGRESO
546343;19672248;2002-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2002-01;INGRESO
565377;11016476;2001-01;S;ALUMNO CON DEUDA MOROSA;-;2001-01;INGRESO
639062;4231986;2006-01;S;ALUMNO CON DEUDA MOROSA;2006-01;2006-01;INGRESO
454292;18555248;2014-01;S;ALUMNO CON DEUDA MOROSA;2014-01;2014-01;INGRESO
605690;5887165;2007-01;S;SUSPENSION DE ESTUDIOS;-;2007-01;INGRESO
508059;4266844;2003-01;S;SUSPENSION DE ESTUDIOS;-;2003-01;INGRESO
487670;14635813;1996-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1996-01;INGRESO
483336;15638855;2003-01;S;BLOQUEO POR NO INSCRIPCION;2003-02;2003-01;INGRESO
551310;6620207;1983-01;S;ALUMNO EGRESADO;1997-01;1997-01;QUINTO AÑO- EGRESO
439359;23487285;2001-01;S;BLOQUEO POR NO INSCRIPCION;2002-01;2001-01;INGRESO
531410;19489569;1992-01;S;BLOQUEO POR NO INSCRIPCION;1999-01;1992-01;INGRESO
610638;9082867;2007-01;N;Sin Bloqueo;2011-02;2011-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
499344;17475153;2002-01;S;ALUMNO EGRESADO;2006-02;2006-02;QUINTO AÑO - EGRESO
395350;8767800;2003-01;S;BLOQUEO POR NO INSCRIPCION;2003-02;2003-01;INGRESO
612049;8872257;2007-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2010-01;2007-01;INGRESO
632012;20771632;2004-01;S;BLOQUEO POR NO INSCRIPCION;2007-01;2006-02;SEGUNDO AÑO
596594;10530989;1991-01;S;BLOQUEO POR NO INSCRIPCION;1999-01;1999-01;QUINTO AÑO- EGRESO
520393;25047576;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
389330;17324958;2002-01;S;ALUMNO EGRESADO;2006-02;2006-02;QUINTO AÑO - EGRESO
557627;25097309;1996-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1996-01;INGRESO
466647;19008419;2003-01;S;BLOQUEO POR NO INSCRIPCION;2004-01;2004-01;INGRESO
635348;20802665;2003-01;S;CAMBIO DE PLAN O CARRERA;2003-02;2003-01;INGRESO
568077;14897569;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2005-02;2005-01;INGRESO
602748;14626087;2016-01;S;ALUMNO EGRESADO;2023-01;2023-01;10 SEMESTRE - EGRESO
582417;22530431;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
556567;19152228;2007-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2008-02;2007-01;INGRESO
574692;20177004;1996-01;S;ALUMNO EGRESADO;2000-02;1996-01;INGRESO
375651;22278175;1991-01;S;ALUMNO CON DEUDA MOROSA;2004-01;2003-01;CUARTO AÑO
592856;13857766;1983-01;S;ALUMNO EGRESADO;1990-01;1989-01;QUINTO AÑO- EGRESO
615516;20376585;2004-01;S;ALUMNO CON DEUDA MOROSA;2004-02;2004-01;INGRESO
410750;14796506;2004-01;S;ALUMNO EGRESADO;2008-01;2008-01;SEGUNDO AÑO
377518;17145870;2004-01;S;CAMBIO DE PLAN O CARRERA;2007-01;2007-01;CUARTO AÑO
516073;12091127;2007-01;S;ALUMNO CON DEUDA MOROSA;2007-01;2007-01;INGRESO
369059;6035387;2006-01;S;BLOQUEO POR NO INSCRIPCION;2008-02;2008-02;3 SEMESTRE
628568;23793226;2007-01;N;Sin Bloqueo;2011-02;2011-02;10 SEMESTRE - EGRESO
480133;8795218;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2005-02;2005-01;INGRESO
486359;12472755;2006-01;N;Sin Bloqueo;2015-02;2015-02;10 SEMESTRE - EGRESO
404669;6660943;1991-01;S;ALUMNO EGRESADO;2000-01;1991-01;INGRESO
573583;24845605;1991-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1991-01;INGRESO
643261;5042928;2013-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2017-02;2016-02;5 SEMESTRE
631988;19274220;2012-01;N;Sin Bloqueo;2022-02;2022-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
502691;12304332;1996-01;S;BLOQUEO POR NO INSCRIPCION;1998-01;1996-01;INGRESO
521681;18927984;1991-01;S;BLOQUEO POR NO INSCRIPCION;1993-01;1991-01;INGRESO
446485;11701972;1991-01;S;BLOQUEO POR NO INSCRIPCION;1997-02;1991-01;INGRESO
581025;24752015;2005-01;S;SUSPENSION DE ESTUDIOS;2005-01;2005-01;1 SEMESTRE
384906;17293770;1995-01;S;BLOQUEO POR NO INSCRIPCION;1996-01;1995-01;INGRESO
398638;23094908;1986-01;S;ALUMNO EGRESADO;1999-01;1986-01;INGRESO
500604;7906197;2007-01;N;Sin Bloqueo;2015-02;2015-02;10 SEMESTRE - EGRESO
531554;8200056;1997-01;S;BLOQUEO POR NO INSCRIPCION;1999-02;1997-01;INGRESO
481564;17539509;1997-01;S;ALUMNO EGRESADO;2002-01;1997-01;INGRESO
508774;17689418;1984-01;S;ALUMNO EGRESADO;1994-01;1994-01;QUINTO AÑO- EGRESO
405766;9333144;1993-01;N;Sin Bloqueo;1991-01;1991-01;QUINTO AÑO- EGRESO
554011;13936604;1999-01;S;ALUMNO EGRESADO;2000-02;1999-01;INGRESO
589255;10683330;2007-01;S;SUSPENSION DE ESTUDIOS;-;2010-01;2 SEMESTRE
555326;16692810;2002-01;S;BLOQUEO POR NO INSCRIPCION;2002-02;2002-01;INGRESO
532685;12633879;2007-01;S;CAMBIO DE PLAN O CARRERA;2009-02;2008-02;2 SEMESTRE
555332;7068961;2006-01;N;Sin Bloqueo;2010-02;2010-02;10 SEMESTRE - EGRESO
435927;23095590;2008-01;N;Sin Bloqueo;2011-02;2009-01;2 SEMESTRE
376400;7319067;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
570630;21493297;2010-02;N;Sin Bloqueo;2015-02;2015-02;10 SEMESTRE - EGRESO
389802;11714562;1988-01;S;ALUMNO EGRESADO;1993-02;1990-01;SEGUNDO AÑO
627283;10614817;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2008-02;2007-01;1 SEMESTRE
499235;8923236;2006-01;S;ALUMNO CON DEUDA MOROSA;-;2006-01;INGRESO
563637;25899265;1996-01;S;ALUMNO EGRESADO;1999-01;1996-01;INGRESO
580389;9995365;2000-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2000-01;INGRESO
533407;22218956;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
557107;23250765;2005-01;S;SUSPENSION DE ESTUDIOS;-;2005-01;INGRESO
549838;5833258;2008-01;S;ALUMNO CON DEUDA MOROSA;2010-01;2009-02;2 SEMESTRE
430765;23734593;1988-01;S;ALUMNO EGRESADO;1993-01;1991-01;CUARTO AÑO
593634;6060741;1996-01;S;BLOQUEO POR NO INSCRIPCION;1997-02;1996-01;INGRESO
473823;22028694;2008-02;S;ALUMNO EGRESADO;2009-01;2009-01;QUINTO AÑO - EGRESO
479384;24775377;2000-01;S;BLOQUEO POR NO INSCRIPCION;2000-02;2000-01;INGRESO
527227;9120619;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2007-02;2007-01;2 SEMESTRE
524348;10044729;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2008-02;2007-01;2 SEMESTRE
545321;11292868;2003-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-01;2003-01;INGRESO
436229;16832615;2000-01;S;ALUMNO EGRESADO;2002-02;2010-01;QUINTO AÑO- EGRESO
498370;7572584;1998-01;S;BLOQUEO POR NO INSCRIPCION;1998-02;1998-01;INGRESO
635701;4519082;1996-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1996-01;INGRESO
473840;4247983;1985-01;S;BLOQUEO POR NO INSCRIPCION;1990-01;1990-01;QUINTO AÑO- EGRESO
386147;22841052;2008-01;S;ALUMNO CON DEUDA MOROSA;2008-01;2008-01;INGRESO
465632;6703957;1996-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1996-01;INGRESO
368913;20330036;1995-01;S;BLOQUEO POR NO INSCRIPCION;1998-01;1995-01;INGRESO
366452;19414644;1997-01;S;ALUMNO EGRESADO;2002-01;1997-01;INGRESO
593240;8539598;2006-01;S;SUSPENSION DE ESTUDIOS;-;2006-01;INGRESO
472157;10248599;2009-01;S;BLOQUEO FINANCIERO DESERTOR CAE;2009-02;2009-01;INGRESO
491087;11921199;2009-01;S;ALUMNO CON DEUDA MOROSA;2009-01;2009-01;INGRESO
450346;15686224;2002-01;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;-;2002-01;INGRESO
487273;6993018;1993-01;S;ALUMNO EGRESADO;1997-02;1993-01;INGRESO
627305;10412613;2006-01;N;Sin Bloqueo;2017-01;2017-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
418369;20622578;1992-01;S;ALUMNO EGRESADO;1997-01;1992-01;INGRESO
