NumeroEstudiante;RUN;Cohorte;Bloqueo;Causal_Bloqueo;Ultima_carga;Fecha_logro;Logro
408170;20479325;2009-01;N;Sin Bloqueo;2014-02;2009-01;INGRESO
603019;8318949;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2005-01;2005-01;INGRESO
605756;24380821;2011-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2013-01;2011-01;INGRESO
450105;12093982;2009-01;S;ALUMNO LICENCIADO;2014-02;2009-01;INGRESO
602008;8313400;2005-01;S;BLOQUEO POR NO INSCRIPCION;2006-02;2005-01;INGRESO
496001;25501626;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2005-01;2005-01;INGRESO
574071;12102357;2005-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2006-02;2005-01;1 SEMESTRE
623079;11407408;2007-01;S;ALUMNO EGRESADO;2008-01;2008-01;QUINTO AÑO - EGRESO
564827;10718079;2003-01;S;BLOQUEO POR NO INSCRIPCION;2003-02;2003-01;INGRESO
390005;11638182;2002-01;S;ALUMNO EGRESADO;2006-02;2004-01;SEGUNDO AÑO
381092;25274060;2007-01;N;Sin Bloqueo;2023-02;2023-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
440418;4650799;2008-01;N;Sin Bloqueo;2021-01;2021-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
502902;24914875;2008-01;N;Sin Bloqueo;2011-02;2011-02;10 SEMESTRE - EGRESO
646217;7603785;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2006-02;2006-01;INGRESO
519565;15452656;2004-01;S;ALUMNO CON DEUDA MOROSA;2006-01;2004-01;SEGUNDO AÑO
429941;20496008;2004-01;S;ALUMNO CON DEUDA MOROSA;2009-01;2008-01;4 SEMESTRE
365532;21917557;2007-01;S;ALUMNO CON DEUDA MOROSA;2007-02;2007-01;INGRESO
438093;24512099;2009-01;S;ALUMNO CON DEUDA MOROSA;2017-01;2016-02;8 SEMESTRE
538809;16479842;2003-01;S;ALUMNO EGRESADO;2008-01;2006-01;SEGUNDO AÑO
518860;20801554;2011-01;S;SUSPENSION DE ESTUDIOS;-;2011-01;INGRESO
627760;11962092;2008-01;N;Sin Bloqueo;2020-02;2020-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
403535;11837751;2010-01;N;Sin Bloqueo;2019-02;2019-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
510157;5653338;2006-01;S;ALUMNO EGRESADO;2011-02;2011-02;10 SEMESTRE - EGRESO
512021;14410995;2002-01;S;ALUMNO CON DEUDA MOROSA;2005-01;2004-01;SEGUNDO AÑO
391874;25628219;2002-01;S;ALUMNO LICENCIADO;2016-02;2016-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
519835;21742290;2008-01;N;Sin Bloqueo;2021-02;2021-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
501066;23228123;2005-01;S;ALUMNO LICENCIADO;2016-02;2016-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
445820;21448389;2008-01;S;ALUMNO LICENCIADO;2018-01;2018-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
397052;22242469;2005-01;S;ALUMNO CON DEUDA MOROSA;2007-02;2007-02;3 SEMESTRE
525308;23966714;2005-01;S;ALUMNO CON DEUDA MOROSA;2009-02;2009-01;4 SEMESTRE
565340;17352472;2009-02;S;ALUMNO CON DEUDA MOROSA;2009-02;2009-02;INGRESO
368832;18521463;2003-01;S;ALUMNO LICENCIADO;2007-02;2005-01;SEGUNDO AÑO
451592;12938110;2004-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2007-02;2006-01;PRIMER AÑO
630133;10364223;2008-01;N;Sin Bloqueo;2014-02;2008-01;INGRESO
451389;4354507;2006-01;S;SUSPENSION DE ESTUDIOS;2006-02;2006-02;2 SEMESTRE
443709;15531396;2003-01;S;ALUMNO EGRESADO;2007-02;2005-01;SEGUNDO AÑO
637486;18104717;2010-01;N;Sin Bloqueo;2018-02;2018-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
393424;15421747;2010-01;N;Sin Bloqueo;2017-01;2017-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
472622;10901031;2004-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-02;2004-01;INGRESO
649879;15393455;2003-01;S;CAMBIO DE PLAN O CARRERA;2008-02;2004-01;PRIMER AÑO
429614;24170467;2003-01;S;BLOQUEO POR NO INSCRIPCION;2010-02;2010-01;3 SEMESTRE
568964;22633898;2002-01;S;ALUMNO LICENCIADO;2009-01;2009-01;QUINTO AÑO- EGRESO
610374;24548974;2010-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2012-01;2010-02;1 SEMESTRE
439269;17943486;2013-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2014-01;2013-01;INGRESO
449908;11309731;2002-01;N;Sin Bloqueo;2008-01;2004-01;SEGUNDO AÑO
368608;10452582;2010-01;N;Sin Bloqueo;2020-02;2020-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
553659;24059923;2011-01;N;Sin Bloqueo;2015-02;2011-01;INGRESO
433826;23786882;2003-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-01;2003-02;PRIMER AÑO
555017;25674148;2002-01;S;BLOQUEO POR NO INSCRIPCION;2003-01;2002-01;INGRESO
553250;11606109;2009-01;S;ALUMNO CON DEUDA MOROSA;2009-01;2009-01;INGRESO
566981;7943027;2002-01;S;ALUMNO EGRESADO;2007-01;2004-01;SEGUNDO AÑO
509822;4548186;2017-01;S;ALUMNO CON DEUDA MOROSA;-;2017-01;INGRESO
464439;11623960;2010-01;S;ALUMNO EGRESADO;2022-02;2022-02;10 SEMESTRE - EGRESO
574314;11047064;2003-01;S;ALUMNO EGRESADO;2007-02;2007-02;QUINTO AÑO - EGRESO
625454;14274028;2003-01;S;ALUMNO EGRESADO;2007-01;2005-01;SEGUNDO AÑO
585323;23006605;2009-02;N;Sin Bloqueo;2009-02;2009-02;INGRESO
406099;18320796;2002-01;S;ALUMNO EGRESADO;2006-01;2004-01;SEGUNDO AÑO
399670;7183272;1991-01;S;BLOQUEO POR NO INSCRIPCION;1996-02;1991-01;INGRESO
563994;8115768;2002-01;S;ALUMNO EGRESADO;2007-02;2005-01;SEGUNDO AÑO
489009;21554818;2002-01;S;CAMBIO DE PLAN O CARRERA;2007-01;2005-01;SEGUNDO AÑO
643795;15512276;2002-01;S;ALUMNO LICENCIADO;2008-02;2008-02;QUINTO AÑO - EGRESO
564032;5022434;2002-01;S;BLOQUEO POR NO INSCRIPCION;2002-02;2002-01;INGRESO
537687;16392038;2003-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2008-01;2005-02;PRIMER AÑO
482609;7226857;2003-01;N;Sin Bloqueo;2012-01;2012-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
523861;23078209;2011-01;S;ALUMNO CON DEUDA MOROSA;2012-01;2011-01;INGRESO
504262;14584173;2006-01;S;ALUMNO LICENCIADO;2018-01;2018-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
465158;25314177;2009-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2012-01;2010-02;1 SEMESTRE
499862;7568525;2011-01;S;ALUMNO EGRESADO;2021-02;2021-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
615514;11868455;2004-01;S;ALUMNO CON DEUDA MOROSA;2006-02;2005-01;PRIMER AÑO
501544;5621493;2004-01;N;Sin Bloqueo;2016-02;2016-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
418635;6038714;2009-01;S;ALUMNO LICENCIADO;2017-02;2017-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
405816;11171129;2008-01;S;BLOQUEO POR NO INSCRIPCION;2016-01;2016-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
530772;21449086;2003-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2004-01;2003-01;INGRESO
599947;12616158;2002-01;S;ALUMNO EGRESADO;2007-01;2005-01;SEGUNDO AÑO
498963;14923922;2002-01;S;ALUMNO EGRESADO;2007-01;2004-01;SEGUNDO AÑO
386922;13499747;2002-01;S;BLOQUEO POR NO INSCRIPCION;2005-01;2005-01;PRIMER AÑO
501841;12255999;2017-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2022-02;2021-02;3 SEMESTRE
492669;13284291;2007-01;S;BLOQUEO ADMINISTRATIVO;2018-02;2018-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
452037;16345492;2002-01;S;BLOQUEO POR NO INSCRIPCION;2004-01;2004-01;PRIMER AÑO
467459;5749449;2003-01;S;ALUMNO CON DEUDA MOROSA;2008-01;2008-01;QUINTO AÑO- EGRESO
525215;24739587;2011-01;S;ALUMNO CON DEUDA MOROSA;2011-01;2011-01;1 SEMESTRE
510632;8483996;2009-01;S;SUSPENSION DE ESTUDIOS;-;2009-01;1 SEMESTRE
470338;13016715;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS;2011-01;2007-02;1 SEMESTRE
551037;7384580;2014-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2015-01;2014-01;INGRESO
484480;13085301;2014-01;S;ALUMNO EGRESADO;2018-02;2018-02;10 SEMESTRE - EGRESO
582850;4913974;2002-01;S;ALUMNO EGRESADO;2007-02;2006-02;SEGUNDO AÑO
466051;8962255;2005-01;N;Sin Bloqueo;2012-01;2012-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
459662;13999316;2011-01;N;Sin Bloqueo;2018-02;2018-02;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
465446;7520893;2024-01;N;Sin Bloqueo;2024-02;2024-01;INGRESO
625636;7554838;2009-01;N;Sin Bloqueo;2017-01;2017-01;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES
649594;20526210;2006-01;N;Sin Bloqueo;2010-02;2010-02;10 SEMESTRE - EGRESO
490860;20301213;2006-01;S;ALUMNO CON DEUDA MOROSA;2009-02;2009-01;6 SEMESTRE - BACHILLER
612287;22173332;2007-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2009-02;2007-01;INGRESO
600169;4364157;2009-01;S;ALUMNO EGRESADO;2011-02;2009-01;INGRESO
618330;15911989;2015-01;S;BLOQUEO POR NO INSCRIPCION;-;2015-01;INGRESO
439054;16881488;2006-01;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;2007-01;2006-01;INGRESO
